"","Player","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","Prog_Passes","Succ_Dribbles","Att_Dribbles","Fls","Fld","Off","Crs","TklW","OG","PKwon","PKcon","Club"
"2911","Quentin Boisgard",184,1,0,0,0,6,3,1,0,134,6,4,3,0.4,0.4,0,9,1,79,98,393,7,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2912","Quentin Merlin",1129,0,1,0,0,10,2,1,0,898,20,14,16,0.3,0.3,1.4,35,2,608,804,983.7,53,11,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2913","Queven",360,1,0,0,0,1,1,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"2914","Rabbi Matondo",199,0,0,0,0,1,0,0,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2915","Radamel Falcao",404,2,0,1,1,12,3,2,0,149,3,1,3,2.1,1.3,0,6,0,69,94,816.7,2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2916","Rade Krunić",754,1,1,0,0,9,3,4,0,326,14,8,12,1.3,1.3,0.8,22,2,186,250,NA,32,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2917","Radim Řezník",135,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"2918","Radosław Murawski",166,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"2919","Rafa Mir",715,3,0,0,0,32,10,2,0,206,5,2,2,3.6,3.6,0.6,11,0,81,124,734.6,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2920","Rafa Silva",771,5,1,0,0,24,10,1,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2921","Rafael Borré",524,1,1,1,1,11,4,0,0,260,7,2,6,1.9,1.1,1.1,15,2,140,189,1544.2,10,7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2922","Rafael Leão",1508,8,6,0,0,63,15,4,1,689,3,6,3,6.1,6.1,3.6,75,9,366,484,1643.7,55,42,97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2923","Rafael Lopes",72,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,NA,NA,NA
