"","Player","Min","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"100","Alessandro Florenzi",97,0,0,0,1,0,0,5,1,2,0,0,0,4,0,0,NA
"101","Alessandro Tuia",180,0,0,0,1,0,0,0,4,0,0,0,0,11,1,3,100
"102","Alessandro Zanoli",24,0,0,0,0,0,0,4,1,2,0,0,0,0,1,2,100
"103","Alessio Romagnoli",1194,0,0,0,9,6,1,0,18,10,0,0,0,46,30,19,NA
"104","Alessio Zerbin",111,1,0,0,4,1,1,0,0,2,0,0,0,8,0,0,NA
"105","Alex Baena",630,6,1,1,23,14,1,7,2,4,1,0,0,33,0,4,NA
"106","Álex Berenguer",1026,0,0,0,24,12,8,53,2,14,0,0,0,52,18,17,NA
"107","Álex Collado",514,0,0,0,7,6,1,10,1,11,0,0,0,23,4,5,NA
"108","Álex Fernández",699,0,0,0,2,5,0,15,4,2,0,0,0,30,6,5,NA
"109","Alex Ferrari",868,3,0,0,12,7,0,4,19,5,0,1,0,62,21,15,NA
"110","Álex Grimaldo",540,0,0,0,3,2,0,13,9,9,0,0,0,40,4,6,NA
"111","Alex Iwobi",1332,1,0,0,7,4,1,19,9,14,0,0,0,101,1,8,NA
"112","Alex Král",904,1,0,0,9,5,1,2,11,11,0,0,0,59,10,15,NA
"113","Alex Meret",1890,0,0,0,0,3,0,0,0,0,0,0,0,36,5,0,NA
"114","Álex Moreno",1170,1,0,0,12,19,1,24,15,15,0,1,0,68,7,15,NA
"115","Alex Oxlade-Chamberlain",32,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,NA
"116","Álex Remiro",1260,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,NA
"117","Alex Sandro",1194,4,1,0,18,16,0,20,18,11,1,0,0,97,20,12,NA
"118","Alex Sola",275,1,0,0,3,6,0,6,3,8,0,0,0,14,6,3,350
"119","Alex Telles",1149,4,0,0,17,15,1,84,11,10,0,0,0,54,19,15,NA
"120","Alexander Bah",548,1,0,0,8,7,0,21,15,11,0,1,0,32,9,5,NA
"121","Alexander Djiku",1276,2,0,0,15,13,1,4,29,19,0,0,0,76,42,15,NA
"122","Alexander Hack",988,2,1,0,23,11,0,1,20,14,0,2,0,73,30,28,665.7
"123","Alexander Isak",394,0,0,0,5,3,2,2,1,3,0,0,0,8,4,6,NA
"124","Alexander lowry",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"125","Alexander Meyer",675,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,NA
"126","Alexander Mighten",8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
"127","Alexander Nübel",1350,2,0,0,0,1,0,0,1,0,0,0,0,26,3,0,NA
"128","Alexander Schwolow",1350,1,0,0,0,3,0,0,1,0,0,0,0,22,2,1,NA
"129","Alexander Sørloth",826,2,0,0,15,3,4,1,0,3,0,0,0,27,17,12,NA
"130","Alexandre Coeff",586,0,0,0,3,1,0,5,8,5,0,0,0,29,6,7,NA
"131","Alexandre Lacazette",1297,2,0,0,26,21,6,23,9,14,1,0,0,37,11,14,NA
"132","Alexandro Bernabei",11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"133","Alexis Beka Beka",276,1,0,0,8,4,0,5,7,4,0,0,0,30,1,3,NA
"134","Alexis Blin",690,2,0,0,11,7,0,9,10,10,0,0,0,36,11,20,NA
"135","Alexis Claude-Maurice",283,0,0,0,3,6,0,5,3,6,0,0,0,12,5,1,NA
"136","Alexis Flips",642,1,1,0,4,7,0,54,14,9,0,0,0,54,5,12,NA
"137","Alexis Mac Allister",1407,4,0,0,17,22,0,15,21,29,0,0,1,137,9,6,NA
"138","Alexis Saelemaekers",403,1,0,0,11,3,0,16,3,7,0,1,0,15,2,1,NA
"139","Alexis Sánchez",1272,1,0,0,25,25,21,16,1,10,0,0,0,32,15,31,NA
"140","Alexis Vega",193,0,0,0,2,6,4,6,1,0,0,0,0,16,1,5,NA
"141","Alexsandro Ribeiro",393,0,0,0,1,4,0,1,5,7,0,0,0,32,3,6,NA
"142","Alfonso Espino",1142,3,0,0,21,10,0,23,12,23,0,2,0,83,7,14,NA
"143","Alfonso Pedraza",805,1,0,0,12,10,1,34,5,16,0,0,0,35,9,8,NA
"144","Alfred Duncan",285,0,0,0,7,2,0,5,3,4,0,0,0,18,3,3,NA
"145","Alfredo Morelos",256,1,0,0,4,9,0,1,1,1,0,0,0,3,8,11,NA
"146","Ali Abdi",188,1,0,0,5,0,1,5,4,5,0,0,0,17,9,5,NA
"147","Ali Al-Bulaihi",216,1,0,0,1,1,0,0,3,2,0,0,0,5,3,3,150
"148","Ali Al Hassan",45,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,NA
"149","Ali Assadalla",27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"150","Ali Gholizadeh",199,0,0,0,3,1,2,4,3,0,0,0,0,21,0,1,NA
"151","Ali Karimi",99,0,0,0,4,1,0,2,3,3,0,0,0,6,3,2,NA
"152","Ali Maâloul",90,0,0,0,0,0,0,13,0,1,0,0,0,5,0,1,0
"153","Ali Mohamed",356,0,0,0,5,4,1,1,7,2,0,0,0,35,0,0,NA
"154","Alidu Seidu",1278,5,0,0,20,31,1,19,25,13,0,0,0,98,10,4,NA
"155","Alireza Beiranvand",109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"156","Alireza Jahanbakhsh",59,2,0,0,2,0,0,1,1,1,0,0,0,1,0,3,0
"157","Alisson",1980,0,0,0,1,1,0,0,0,0,0,0,0,42,4,1,NA
"158","Alistair Johnston",270,1,0,0,5,3,0,8,2,3,0,0,0,16,4,2,166.7
"159","Allan McGregor",450,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,NA
"160","Allan Saint-Maximin",378,1,0,0,3,8,1,10,4,0,0,0,0,26,1,0,NA
"161","Almamy Touré",163,0,0,0,0,0,1,2,5,4,0,0,0,13,4,3,NA
"162","Almoez Ali",224,1,0,0,2,2,3,0,1,0,0,0,0,6,2,9,40
