"","Player","Min","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"2154","Óscar de Marcos",1078,2,0,0,21,5,2,49,6,10,0,0,0,69,11,6,NA
"2155","Óscar Duarte",180,0,0,0,1,0,0,0,4,2,0,1,0,7,1,1,100
"2156","Óscar Gil",868,4,0,0,17,14,0,17,9,13,0,0,0,35,4,16,NA
"2157","Óscar Mingueza",478,2,0,0,9,2,0,11,4,9,0,1,0,39,3,3,NA
"2158","Óscar Plano",829,1,0,0,9,24,3,11,12,10,1,0,0,44,13,20,NA
"2159","Óscar Rodríguez Arnaiz",999,2,0,0,14,17,1,48,13,16,0,0,0,66,8,12,NA
"2160","Óscar Trejo",840,6,0,0,30,33,0,19,2,14,0,0,0,52,6,19,NA
"2161","Oscar Ureña",100,0,0,0,2,1,0,4,1,2,0,0,0,3,0,1,NA
"2162","Óscar Valentín",957,5,0,0,31,16,1,2,19,22,0,0,0,73,11,10,NA
"2163","Osman Bukari",14,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,100
"2164","Otávio",504,1,0,0,13,15,0,17,0,14,0,0,0,31,4,9,NA
"2165","Oumar Gonzalez",946,6,0,0,15,14,1,2,23,13,0,0,0,63,22,22,NA
"2166","Oumar Solet",266,0,0,0,4,1,0,0,3,4,0,0,0,24,5,1,NA
"2167","Ousmane Camara",180,0,0,0,1,1,0,0,2,1,0,0,0,13,5,1,150
"2168","Ousmane Dembélé",1441,4,0,0,17,15,5,119,3,19,0,0,0,55,4,8,NA
"2169","Owen Bevan",9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"2170","Owen Wijndal",76,0,0,0,2,0,0,3,2,0,0,0,0,5,0,0,NA
"2171","Ozan Kabak",1256,6,1,1,21,8,0,4,31,15,0,0,1,83,49,28,891.3
"2172","Pablo Barrios",25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA
"2173","Pablo Durán",29,0,0,0,1,0,1,1,1,0,0,0,0,2,1,1,NA
"2174","Pablo Fornals",776,0,0,0,8,4,1,34,9,7,0,0,0,68,5,11,NA
"2175","Pablo Ibáñez",35,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,NA
"2176","Pablo Maffeo",1017,3,1,0,12,20,2,38,10,15,0,0,0,49,12,15,NA
"2177","Pablo Marí",619,2,0,0,5,2,0,0,8,5,0,0,0,32,15,5,NA
"2178","Pablo Marín",106,1,0,0,2,0,0,2,0,1,0,0,0,4,2,2,NA
"2179","Pablo Muñoz",12,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,NA
"2180","Pablo Rodríguez",39,0,0,0,0,1,0,3,0,1,0,0,0,2,0,2,NA
"2181","Pablo Rosario",673,4,0,0,10,5,0,2,12,4,0,0,0,32,6,5,NA
"2182","Pablo Sarabia",410,2,0,0,5,6,2,15,2,4,0,0,0,16,1,2,NA
"2183","Pablo Torre",109,1,0,0,3,1,0,1,1,2,0,1,0,4,0,3,NA
"2184","Panagiotis Retsos",122,0,0,0,4,2,0,0,2,4,0,0,0,7,3,3,NA
"2185","Paolo Ghiglione",377,2,0,0,5,3,0,24,3,3,0,0,0,20,2,4,150
"2186","Papa Ndiaga Yade",320,1,0,0,7,8,0,18,7,4,0,0,0,22,4,5,NA
"2187","Pape Abou Cissé",105,0,0,0,1,0,0,0,2,0,0,0,0,2,2,3,66.7
"2188","Pape Gueye",486,1,0,0,7,15,0,2,5,6,0,0,0,38,12,8,NA
"2189","Pape Matar Sarr",14,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,NA
"2190","Papu Gómez",954,4,0,0,7,22,3,30,8,6,0,1,0,37,3,6,NA
"2191","Pascal Groß",1192,2,0,0,8,8,6,90,5,13,0,0,0,30,2,18,NA
"2192","Pascal Stenzel",228,0,0,0,1,2,0,8,4,5,0,0,0,18,0,2,NA
"2193","Pascal Struijk",1164,2,0,0,16,8,0,13,21,30,0,0,0,65,33,25,751.2
"2194","Pasquale Mazzocchi",1199,2,0,0,15,8,5,59,6,9,0,0,0,82,7,5,NA
"2195","Pathé Ciss",744,4,0,0,21,8,0,0,13,20,0,0,0,53,15,10,NA
"2196","Patric",752,0,0,0,2,1,0,0,5,7,0,0,0,52,3,11,NA
"2197","Patrick Bamford",429,0,0,0,7,5,5,1,0,2,0,0,0,12,6,9,NA
"2198","Patrick Berg",25,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,NA
"2199","Patrick Ciurria",740,2,0,0,10,13,2,25,0,6,0,0,0,32,3,3,NA
"2200","Patrick Herrmann",116,2,0,0,3,1,0,6,1,1,0,1,0,12,1,4,NA
"2201","Patrick Osterhage",343,0,0,0,9,2,0,3,4,5,0,0,0,19,4,11,NA
"2202","Patrick Pentz",630,1,0,0,0,2,0,0,0,0,0,0,0,8,0,0,NA
"2203","Patrick Wimmer",516,2,0,0,16,8,0,21,4,9,0,0,0,22,8,5,NA
"2204","Patrik Schick",1304,0,0,0,7,17,3,4,2,2,0,0,0,30,39,50,642.6
"2205","Patson Daka",642,2,0,0,11,6,5,4,3,4,1,0,0,17,10,14,NA
"2206","Pau López",1620,1,0,0,0,4,0,0,0,0,0,0,0,26,3,0,NA
"2207","Pau Torres",1170,5,0,0,11,10,0,1,3,5,0,0,0,66,18,23,556.6
"2208","Paul Akouokou",238,2,0,0,4,3,0,0,5,5,0,0,0,17,1,6,NA
"2209","Paul Bernardoni",630,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,NA
"2210","Paul Jaeckel",800,1,0,0,12,2,0,1,13,11,0,0,0,43,12,16,NA
"2211","Paul Joly",867,2,0,0,7,9,0,36,24,21,1,0,0,83,6,11,NA
"2212","Paul Mukairu",44,0,0,0,1,1,0,0,0,2,0,0,0,1,1,1,NA
"2213","Paul Seguin",260,1,0,0,3,2,0,6,0,3,0,0,0,18,4,3,NA
"2214","Paul Wanner",48,0,0,0,1,0,0,1,1,1,0,0,0,3,2,0,NA
"2215","Paulinho",367,2,0,0,5,10,1,1,0,4,0,0,0,18,8,10,NA
"2216","Paulo Dybala",597,2,0,0,4,17,1,22,4,1,1,0,0,33,2,3,NA
"2217","Paulo Gazzaniga",360,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,NA
"2218","Paulo Otávio",1129,4,0,0,11,24,0,37,19,23,0,0,1,62,16,27,379.4
"2219","Pavel Bucha",364,0,1,0,1,0,0,4,2,3,0,0,0,24,1,3,NA
"2220","Pavel Kadeřábek",600,0,0,0,8,8,1,32,5,6,0,0,0,36,7,8,NA
"2221","Paweł Dawidowicz",472,2,1,0,14,3,0,5,3,6,0,0,0,32,13,6,531.4
"2222","Pedri",1572,0,0,0,5,29,2,7,16,14,0,0,0,99,3,2,NA
"2223","Pedro",682,0,0,0,4,13,1,18,2,3,0,0,0,32,0,1,NA
"2224","Pedro Bigas",969,2,0,0,6,7,0,2,19,10,1,1,0,54,9,5,NA
"2225","Pedro Chirivella",1197,1,0,0,6,10,0,4,15,12,0,0,0,61,6,5,NA
"2226","Pedro Gonçalves",363,2,1,1,11,4,0,4,3,4,0,0,0,21,1,4,NA
"2227","Pedro Neto",599,1,0,0,5,7,2,45,3,6,0,0,0,35,0,3,NA
"2228","Pedro Obiang",151,0,0,0,1,0,0,0,3,1,0,0,0,6,2,1,NA
"2229","Pedro Porro",392,1,0,0,4,7,0,22,4,10,0,0,0,23,1,3,NA
"2230","Pep Chavarría",66,1,0,0,2,0,0,6,0,0,0,0,0,3,2,1,NA
"2231","Pepe",360,0,0,0,0,4,1,0,7,2,0,0,0,27,8,4,310
"2232","Pepê",506,1,0,0,2,9,0,10,4,9,0,0,0,38,5,7,NA
"2233","Pepín",168,2,0,0,6,1,0,2,3,1,0,0,0,4,0,0,NA
"2234","Pere Milla",779,3,0,0,9,23,5,9,5,9,0,0,0,49,11,9,NA
"2235","Perr Schuurs",705,2,0,0,12,2,0,1,14,10,0,0,0,46,25,15,NA
"2236","Pervis Estupiñán",901,3,0,0,19,9,4,43,16,11,1,0,0,57,15,12,NA
"2237","Petar Bočkaj",39,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,NA
"2238","Petar Musa",118,0,0,0,2,0,0,0,1,0,0,0,0,5,5,8,206.7
"2239","Petar Stojanović",947,2,0,0,7,12,0,18,9,14,0,0,0,56,2,5,NA
"2240","Peter Ankersen",25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"2241","Péter Gulácsi",732,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,NA
"2242","Peter Pekarík",8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"2243","Petko Hristov",320,0,0,0,1,4,0,1,4,3,1,0,0,18,9,5,NA
"2244","Phil Foden",1304,2,0,0,8,20,2,78,8,6,0,0,0,75,10,21,NA
"2245","Philip Billing",1133,1,0,0,11,13,3,13,10,17,0,0,0,54,26,14,1016.7
"2246","Philipp Förster",652,1,0,0,9,7,0,30,2,14,0,0,0,44,5,4,NA
"2247","Philipp Hofmann",1057,0,0,0,19,16,8,2,5,3,0,0,0,40,75,51,866.1
"2248","Philipp Köhn",540,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,NA
"2249","Philipp Lienhart",1347,0,0,0,7,15,1,0,17,6,0,0,0,90,32,18,1025.6
"2250","Philippe Coutinho",571,2,0,0,11,8,2,17,2,6,0,0,0,27,3,9,NA
"2251","Pierluigi Gollini",270,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NA
"2252","Piero Hincapié",1727,10,2,2,28,21,0,20,19,28,0,3,0,110,30,30,NA
"2253","Pierre-Emerick Aubameyang",717,1,0,0,6,3,4,6,2,0,0,0,0,14,3,8,NA
"2254","Pierre Cornud",371,1,0,0,2,2,0,21,3,4,0,0,0,16,5,3,350
"2255","Pierre Højbjerg",2048,4,0,0,18,17,0,13,33,16,0,0,0,175,9,4,NA
"2256","Pierre Kalulu",1575,1,0,0,16,15,0,14,22,16,0,0,0,108,17,13,NA
"2257","Pierre Kunde",66,0,0,0,1,0,0,3,2,0,0,0,0,5,1,0,100
"2258","Pierre Lees-Melou",967,3,1,0,19,13,0,8,17,16,0,1,0,80,7,6,NA
"2259","Pierrick Capelle",581,4,0,0,16,4,0,18,6,13,0,0,0,38,8,10,NA
"2260","Pietro Pellegri",369,2,0,0,9,13,3,3,0,1,0,0,0,9,8,26,NA
"2261","Pietro Terracciano",1080,1,0,0,1,0,0,0,0,1,0,1,0,23,4,0,NA
"2262","Piotr Zieliński",1450,0,0,0,9,16,2,76,11,6,0,0,0,62,1,7,NA
"2263","Pol Lirola",548,1,0,0,3,3,0,29,6,6,0,0,0,40,8,6,NA
"2264","Pol Lozano",17,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,NA
"2265","Pontus Jansson",514,0,0,0,1,1,1,0,8,2,0,0,0,17,16,9,367.4
"2266","Portu",384,2,1,1,7,6,5,21,2,4,0,0,0,16,3,7,NA
"2267","Predrag Rajković",1260,1,0,0,0,3,0,0,0,0,0,0,0,12,0,0,NA
"2268","Presnel Kimpembe",716,3,0,0,19,9,1,0,11,8,0,1,0,39,9,8,NA
"2269","Przemysław Frankowski",1161,2,0,0,18,10,3,98,19,17,0,0,0,63,6,7,NA
"2270","Qazim Laçi",211,0,0,0,2,2,1,8,2,3,0,1,0,19,4,5,NA
"2271","Quentin Bernard",630,0,0,0,6,3,0,14,15,7,0,0,0,39,3,8,NA
"2272","Quentin Boisgard",184,1,0,0,3,1,0,8,4,2,0,0,0,9,2,0,NA
"2273","Quentin Merlin",1129,1,0,0,7,9,0,76,14,13,0,0,0,74,9,8,NA
"2274","Rabbi Matondo",97,0,0,0,0,2,1,1,2,1,1,0,0,4,1,3,NA
"2275","Radamel Falcao",404,2,0,0,10,9,9,0,1,3,0,0,0,9,12,12,NA
"2276","Rade Krunić",754,4,0,0,5,8,0,3,8,9,0,0,0,43,9,9,NA
"2277","Rafa Mir",715,2,0,0,10,9,9,5,2,1,0,0,0,21,13,23,NA
"2278","Rafa Silva",496,0,0,0,1,11,2,3,1,4,1,0,0,12,3,2,NA
"2279","Rafael Borré",524,0,0,0,9,6,12,5,2,6,0,0,0,32,6,15,NA
"2280","Rafael Leão",1508,4,1,1,15,18,5,39,6,2,1,0,0,52,13,13,NA
"2281","Rafael Ratão",709,1,0,0,9,10,0,18,10,17,0,0,0,52,6,8,NA
"2282","Rafael Tolói",854,3,0,0,8,5,0,6,21,12,0,0,0,66,16,7,NA
"2283","Rafał Gikiewicz",990,2,0,0,0,2,0,0,0,1,0,0,0,29,0,0,NA
"2284","Raheem Sterling",1547,4,0,0,27,20,11,32,2,5,0,0,0,56,3,8,NA
"2285","Ramin Rezaeian",180,1,0,0,2,3,0,11,3,5,0,0,0,22,1,6,25
"2286","Ramón Terrats",141,0,0,0,2,2,0,2,2,1,0,0,0,7,0,3,NA
"2287","Ramy Bensebaini",1248,3,0,0,12,25,1,18,14,12,0,0,1,81,32,20,NA
"2288","Randal Kolo Muani",1661,4,1,1,36,34,19,14,1,11,1,0,0,59,32,50,960.5
"2289","Randy Ntekja",67,0,1,0,0,4,0,0,1,2,0,0,0,7,3,2,NA
"2290","Rani Khedira",1213,5,0,0,27,5,0,5,18,15,0,0,0,84,18,8,NA
"2291","Raoul Bellanova",219,0,0,0,0,2,0,18,2,2,0,0,0,9,4,1,NA
"2292","Raphael Framberger",176,0,0,0,4,0,0,4,2,6,0,0,0,8,5,2,NA
"2293","Raphaël Guerreiro",1468,2,0,0,4,12,0,35,27,11,0,0,0,116,6,9,NA
"2294","Raphael Onyedika",431,3,0,0,5,5,0,0,4,5,0,0,0,31,3,3,NA
"2295","Raphaël Varane",820,1,0,0,8,2,1,0,4,3,0,0,0,42,17,7,NA
"2296","Raphinha",1022,1,0,0,11,12,5,88,9,18,0,0,0,48,3,6,NA
"2297","Rareş Ilie",148,0,0,0,0,0,1,1,1,3,0,0,0,9,2,1,NA
"2298","Rasmus Falk",189,0,0,0,0,4,0,0,7,1,0,0,0,15,0,0,NA
"2299","Rasmus Højlund",437,1,0,0,9,7,1,1,0,2,0,0,0,23,10,18,NA
"2300","Rasmus Lauritsen",15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
"2301","Rasmus Nicolaisen",1195,4,1,1,11,14,1,0,29,12,0,1,0,66,55,12,NA
"2302","Rasmus Nissen",1272,5,0,0,17,5,1,33,22,25,0,0,0,73,22,14,NA
"2303","Raúl Albiol",1159,4,0,0,9,11,0,1,9,9,0,0,0,55,25,11,740.7
"2304","Raúl García",355,1,0,0,4,10,2,5,1,5,0,0,0,14,7,15,NA
"2305","Raúl Guti",647,1,0,0,4,14,0,2,7,8,0,0,0,37,2,3,NA
"2306","Raúl Jiménez",271,0,0,0,3,4,4,3,1,0,0,0,0,5,10,6,NA
"2307","Rayan Aït Nouri",666,1,0,0,9,6,1,15,3,10,0,1,1,36,7,10,NA
"2308","Rayan Cherki",222,1,0,0,3,3,2,27,3,2,0,0,0,17,0,0,NA
"2309","Rayan Raveloson",730,0,0,0,9,13,1,10,15,6,0,0,0,48,8,4,NA
"2310","Raz Meir",83,0,0,0,0,0,0,1,0,3,0,0,0,3,0,1,NA
"2311","Răzvan Marin",983,4,0,0,11,9,0,32,8,9,0,1,0,65,6,5,NA
"2312","Reece James",890,4,0,0,11,11,4,57,6,13,0,0,0,77,13,7,NA
"2313","Reece Oxford",94,0,0,0,0,2,0,0,1,1,0,0,0,6,7,7,NA
"2314","Reinier",313,1,0,0,2,8,1,0,1,4,0,0,0,14,1,5,NA
"2315","Reinildo Mandava",1749,4,0,0,29,23,0,16,25,40,0,0,0,130,26,26,NA
"2316","Reiss Nelson",65,0,0,0,2,2,0,1,0,0,0,0,0,5,0,1,NA
"2317","Remi Oudin",213,1,0,0,3,2,0,11,8,4,0,0,0,12,4,6,NA
"2318","Remko Pasveer",540,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,NA
"2319","Remo Freuler",1011,2,0,0,14,6,0,3,12,13,0,0,0,57,9,8,NA
"2320","Rémy Cabella",721,0,0,0,8,12,1,36,5,12,0,0,0,48,2,8,NA
"2321","Rémy Descamps",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2322","Rémy Dugimont",108,1,0,0,5,1,2,0,0,1,0,0,0,11,7,7,NA
"2323","Rémy Riou",331,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,NA
"2324","Renan Lodi",505,1,0,0,7,13,0,19,10,6,0,0,0,34,3,2,NA
"2325","Renato Sanches",462,0,0,0,15,7,0,2,5,0,0,0,0,37,1,6,NA
"2326","Renato Steffen",32,0,0,0,0,1,1,0,0,0,0,0,0,5,0,1,0
"2327","Renato Tapia",638,2,0,0,8,7,0,4,8,10,0,1,0,36,11,7,700
"2328","Renaud Ripart",747,2,0,0,18,16,2,16,3,19,0,0,0,39,22,31,NA
"2329","Reo Hatate",448,1,0,0,2,4,0,1,3,1,0,0,0,39,1,3,NA
"2330","Rhys Healey",60,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,NA
"2331","Riad Nouri",727,2,0,0,7,8,1,49,4,6,0,0,0,39,7,8,NA
"2332","Ricardo Esgaio",109,3,1,1,2,1,0,1,0,5,0,1,0,6,0,1,NA
"2333","Ricardo Pepi",95,0,0,0,0,0,0,0,0,1,0,0,0,5,3,8,NA
"2334","Ricardo Rodríguez",1127,0,0,0,17,7,0,23,16,12,0,0,0,78,17,15,NA
"2335","Riccardo Marchizza",17,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA
"2336","Riccardo Orsolini",625,2,1,0,11,17,4,24,3,6,0,0,0,32,6,10,NA
"2337","Riccardo Saponara",450,1,0,0,2,8,1,13,1,2,0,0,0,25,3,3,NA
"2338","Riccardo Sottil",432,1,0,0,3,11,3,20,0,0,0,0,0,21,2,2,NA
"2339","Richarlison",912,2,0,0,10,19,7,7,6,8,1,0,0,50,10,17,NA
"2340","Richie Laryea",160,0,0,0,1,2,2,1,0,1,0,0,0,11,0,1,NA
"2341","Rick Karsdorp",547,0,0,0,2,0,1,12,6,11,0,0,0,35,4,1,NA
"2342","Rico Henry",1346,0,0,0,10,13,1,36,12,12,0,0,0,65,18,20,NA
"2343","Rico Lewis",157,0,0,0,4,1,0,1,1,2,0,0,0,8,1,0,NA
"2344","Ridle Baku",1280,3,0,0,12,18,1,35,12,11,0,0,0,83,13,17,NA
"2345","Rıdvan Yılmaz",90,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,NA
"2346","Riley McGree",208,0,0,0,8,1,0,4,5,0,0,0,0,9,1,2,100
"2347","Ritsu Doan",1155,2,0,0,19,19,1,14,8,21,1,0,0,62,1,12,NA
"2348","Riyad Mahrez",740,1,0,0,4,9,2,32,2,7,1,0,0,40,2,6,NA
"2349","Riyadh Sharahili",54,0,0,0,4,0,0,0,2,0,0,0,0,3,1,1,50
"2350","Ró-Ró",262,0,0,0,4,5,0,3,8,4,0,0,0,14,3,2,166.7
"2351","Rob Holding",14,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,NA
"2352","Robert Andrich",1387,9,0,0,34,7,0,3,20,24,0,0,1,81,19,17,NA
"2353","Robert Gumny",836,2,0,0,14,7,0,11,11,8,0,0,0,44,22,24,NA
"2354","Robert Lewandowski",1775,2,1,1,28,37,9,17,1,10,1,0,0,43,40,39,NA
"2355","Robert Ljubicic",540,1,0,0,7,10,0,9,10,6,0,1,1,47,4,3,NA
"2356","Robert Sánchez",1260,0,0,0,0,0,0,0,1,0,0,0,0,14,2,0,NA
"2357","Robert Skov",956,2,0,0,13,15,0,60,7,9,0,0,0,54,6,10,NA
"2358","Robert Wagner",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"2359","Roberto Alvarado",18,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,100
"2360","Roberto Arroyo",15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA
"2361","Roberto Firmino",1285,0,0,0,13,5,3,12,10,12,0,0,0,62,19,31,NA
"2362","Roberto Gagliardini",272,1,0,0,4,6,0,3,3,5,0,0,0,13,5,6,NA
"2363","Roberto González",54,1,0,0,1,4,0,5,1,0,0,0,0,0,0,0,NA
"2364","Roberto Navarro",155,2,0,0,7,3,3,5,0,2,0,0,0,7,2,2,NA
"2365","Roberto Pereyra",1289,4,0,0,12,16,2,31,12,15,0,0,0,80,2,3,NA
"2366","Roberto Piccoli",159,0,0,0,1,3,3,2,0,0,0,0,0,4,0,8,0
"2367","Roberto Soriano",639,0,0,0,10,16,1,6,3,5,0,0,0,38,7,9,NA
"2368","Roberto Torres",11,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,NA
"2369","Robin Gosens",561,2,0,0,11,2,0,19,4,13,0,0,0,29,5,12,NA
"2370","Robin Knoche",1260,2,0,0,8,14,0,0,12,12,0,1,0,87,18,20,NA
"2371","Robin Koch",1215,3,0,0,17,5,0,1,18,12,0,0,1,76,36,19,NA
"2372","Robin Le Normand",816,3,0,0,13,9,1,0,9,5,0,0,0,38,22,8,NA
"2373","Robin Olsen",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2374","Robin Zentner",1350,1,0,0,0,3,0,0,0,0,0,0,0,27,10,0,NA
"2375","Rocco Reitz",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2376","Rochinha",18,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,100
"2377","Rodri",1694,2,0,0,27,10,2,5,21,25,0,0,0,173,47,20,NA
"2378","Rodrigo",1582,1,0,0,16,18,5,27,8,8,1,0,0,62,16,35,NA
"2379","Rodrigo Battaglia",592,5,0,0,10,10,0,1,5,4,0,2,0,27,9,7,NA
"2380","Rodrigo Becão",782,5,0,0,16,11,1,2,4,14,0,0,0,50,19,14,NA
"2381","Rodrigo Bentancur",1865,8,0,0,30,11,0,21,29,33,0,0,0,174,21,23,NA
"2382","Rodrigo Conceição",5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
"2383","Rodrigo De Paul",1196,3,0,0,14,32,1,47,9,6,0,0,0,67,2,6,NA
"2384","Rodrigo Ely",1233,4,1,1,10,4,2,0,16,7,0,0,0,55,33,9,NA
"2385","Rodrigo Pinho",15,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,50
"2386","Rodrigo Riquelme",796,0,0,0,9,16,3,19,3,0,0,0,0,29,1,8,NA
"2387","Rodrigo Zalazar",377,1,0,0,8,9,1,9,1,2,0,0,0,28,8,12,NA
"2388","Rodrygo",1393,1,0,0,11,28,5,13,6,8,2,0,0,29,9,18,NA
"2389","Rogelio Funes Mori",5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,NA
"2390","Roger Ibanez",1350,3,0,0,19,29,0,1,31,19,1,0,0,101,23,10,NA
"2391","Roger Martí",430,1,0,0,11,8,3,5,1,1,0,0,0,19,6,10,NA
"2392","Rogério",1153,2,0,0,5,12,0,46,13,8,0,0,0,58,7,14,NA
"2393","Roko Simic",18,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,NA
"2394","Roland Sallai",376,3,0,0,12,15,1,10,1,4,1,0,0,21,13,8,NA
"2395","Rolando Mandragora",869,4,0,0,19,9,1,25,8,12,0,0,0,50,12,10,NA
"2396","Romain Del Castillo",514,2,0,0,7,8,0,41,3,12,1,0,0,35,2,9,NA
"2397","Romain Faivre",262,0,0,0,5,4,0,14,0,3,0,0,0,16,2,1,NA
"2398","Romain Hamouma",589,5,2,2,10,6,1,35,1,2,1,0,0,21,7,8,NA
"2399","Romain Perraud",851,1,0,0,10,8,3,37,14,14,0,0,0,37,4,11,NA
"2400","Romain Saïss",270,0,0,0,2,0,1,1,2,2,0,0,0,16,5,0,NA
"2401","Roman Yaremchuk",51,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,NA
"2402","Romano Schmid",932,1,0,0,9,13,1,12,5,13,0,0,0,61,8,16,NA
"2403","Romario Ibarra",68,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,NA
"2404","Romelu Lukaku",311,0,0,0,3,0,1,2,0,0,0,0,0,4,8,7,NA
"2405","Roméo Lavia",557,2,0,0,5,9,0,0,12,7,0,0,0,57,2,2,NA
"2406","Rominigue Kouamé",1236,3,0,0,22,32,0,4,26,14,0,0,0,120,6,8,NA
"2407","Ronaël Pierre-Gabriel",635,3,0,0,12,7,2,19,9,18,0,0,0,39,7,7,NA
"2408","Ronald Araújo",600,3,0,0,3,3,1,1,7,7,0,0,0,20,14,12,410
"2409","Rónald Matarrita",9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
"2410","Ronaldo Vieira",531,1,0,0,11,6,0,0,9,8,NA,NA,0,NA,NA,NA,NA
"2411","Rony Lopes",638,2,0,0,7,10,1,32,1,2,0,0,0,38,6,6,NA
"2412","Roony Bardghji",98,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,NA
"2413","Roozbeh Cheshmi",58,0,0,0,1,0,0,0,2,0,0,0,0,4,1,2,100
"2414","Roque Mesa",862,4,0,0,21,15,0,8,7,7,0,1,0,77,4,6,NA
"2415","Ross Barkley",390,1,0,0,4,2,1,16,3,4,0,0,0,25,1,6,NA
"2416","Ruan",45,1,1,0,3,0,0,0,2,2,0,0,0,2,3,1,150
"2417","Rubén",244,0,0,0,2,0,0,13,7,6,0,0,0,16,5,0,NA
"2418","Ruben Aguilar",327,1,0,0,4,3,0,7,8,3,0,0,0,22,1,5,NA
"2419","Rubén Alcaraz",513,5,1,1,10,13,0,9,4,9,0,0,0,40,7,6,NA
"2420","Rubén Blanco",270,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,NA
"2421","Rúben Dias",1472,2,0,0,15,4,0,2,16,9,0,0,0,68,40,22,NA
"2422","Rubén García",425,2,0,0,7,7,0,36,4,1,0,0,0,24,7,12,NA
"2423","Ruben Loftus-Cheek",1141,1,0,0,8,34,1,10,13,8,0,0,1,83,23,23,NA
"2424","Rúben Neves",1404,7,0,0,15,8,0,16,20,19,0,0,0,110,13,16,NA
"2425","Rubén Peña",563,1,1,0,14,2,0,20,8,5,0,0,0,38,8,8,NA
"2426","Rubén Sobrino",799,3,0,0,20,16,3,3,6,5,0,0,0,45,18,23,NA
"2427","Ruben Vargas",628,1,0,0,11,11,3,27,3,2,1,0,0,42,9,13,NA
"2428","Rúben Vinagre",26,0,0,0,0,3,0,2,0,2,0,0,0,4,0,1,NA
"2429","Rubin Colwill",10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"2430","Rui Patrício",1350,1,0,0,0,0,0,0,2,1,0,0,0,20,0,0,NA
"2431","Rui Silva",1080,2,0,0,0,0,0,0,0,1,0,0,0,24,3,0,NA
"2432","Ruslan Malinovskyi",543,2,0,0,10,10,0,22,5,8,0,0,0,52,4,7,NA
"2433","Ryan Christie",718,1,0,0,16,19,0,2,8,13,0,0,0,51,4,10,NA
"2434","Ryan Fraser",313,1,0,0,3,10,1,13,0,2,0,0,0,14,0,2,NA
"2435","Ryan Fredericks",451,1,0,0,3,1,0,13,0,1,0,0,0,11,4,9,NA
"2436","Ryan Gravenberch",435,1,0,0,10,4,0,8,5,8,0,0,0,29,5,2,NA
"2437","Ryan Jack",191,1,0,0,5,1,0,3,1,3,0,0,0,10,1,0,NA
"2438","Ryan Kent",507,0,0,0,0,11,3,9,1,3,0,0,0,24,1,7,NA
"2439","Ryan Sessegnon",817,4,0,0,17,8,9,29,7,16,0,0,0,44,9,8,NA
"2440","Ryan Yates",1033,3,0,0,28,28,1,3,5,12,1,0,0,72,22,13,871.7
