"","Player","Min","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"2618","Téji Savanier",1019,727,601,119,45,3,6,93,13,59,26,25,1,510,7,12
"2619","Terem Moffi",1032,175,171,2,0,1,1,3,0,0,0,0,0,127,2,6
"2620","Tetê",873,409,382,27,3,1,1,40,1,23,12,3,0,308,0,10
"2621","Tete Morente",718,245,223,22,7,0,0,26,10,5,2,1,0,190,0,11
"2622","Teun Koopmeiners",1394,765,705,56,23,3,14,56,9,21,8,9,0,556,4,17
"2623","Theo Bongonda",446,111,104,6,1,0,0,10,1,4,1,1,0,80,1,4
"2624","Theo Hernández",1727,1060,853,206,27,1,13,57,162,17,0,15,0,863,1,28
"2625","Théo Le Bris",815,338,300,38,4,0,0,10,30,0,0,0,0,269,0,11
"2626","Théo Sainte-Luce",355,193,152,41,2,0,0,6,39,0,0,0,0,168,0,3
"2627","Theo Walcott",113,24,23,1,0,0,0,4,0,0,0,0,0,16,0,0
"2628","Thiago Alcántara",950,799,772,26,21,6,15,3,4,0,0,0,0,696,1,17
"2629","Thiago Mendes",1167,908,870,36,32,2,7,3,3,0,0,0,0,761,2,11
"2630","Thiago Silva",1550,1328,1281,45,40,1,13,0,3,0,0,0,0,1199,2,7
"2631","Thibault De Smet",172,129,104,24,2,0,0,2,22,0,0,0,0,102,1,3
"2632","Thibaut Courtois",1440,595,481,111,19,0,0,0,0,0,0,0,0,516,3,1
"2633","Thierno Balde",795,346,288,58,7,1,0,19,49,2,2,0,0,284,0,8
"2634","Thierry Correia",1211,862,716,144,21,1,6,46,123,0,0,0,0,669,2,23
"2635","Thijs Dallinga",900,201,197,3,0,0,3,10,1,0,0,0,0,129,1,15
"2636","Thilo Kehrer",1239,704,637,65,14,0,4,13,50,0,0,0,0,588,2,13
"2637","Thomas Cannon",17,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
"2638","Thomas Delaine",709,387,320,67,1,1,0,46,66,0,0,0,0,258,0,17
"2639","Thomas Delaney",583,301,292,8,5,0,1,6,3,0,0,0,0,246,1,6
"2640","Thomas Foket",13,9,3,5,0,0,0,0,5,0,0,0,0,4,1,1
"2641","Thomas Henry",1021,221,208,9,0,1,2,5,1,0,0,0,0,115,4,9
"2642","Thomas Kastanaras",5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"2643","Thomas Lemar",494,322,300,20,8,2,7,24,0,11,4,5,0,268,2,6
"2644","Thomas Mangani",520,392,334,57,32,1,3,41,2,23,14,8,0,273,1,6
"2645","Thomas Meunier",1041,756,640,115,9,3,5,29,106,0,0,0,0,571,1,23
"2646","Thomas Müller",957,452,433,16,2,3,1,15,10,0,0,0,0,345,3,11
"2647","Thomas Ouwejan",739,430,285,139,29,0,2,84,75,35,19,16,0,260,6,13
"2648","Thomas Partey",1139,821,795,23,14,3,7,2,9,0,0,0,0,711,3,9
"2649","Thorgan Hazard",738,470,385,83,14,0,3,51,39,27,10,15,0,340,2,8
"2650","Þórir Jóhann Helgason",150,46,38,8,1,0,0,9,0,6,5,1,0,34,0,0
"2651","Tiago Djaló",1105,784,732,50,19,0,1,2,17,0,0,0,0,718,2,7
"2652","Tiago Tomás",723,171,158,12,1,3,3,13,1,4,0,3,0,102,1,14
"2653","Tim Lemperle",35,16,15,1,0,0,0,0,0,0,0,0,0,10,0,2
"2654","Tim Oermann",194,51,51,0,0,0,0,0,0,0,0,0,0,39,0,1
"2655","Tim Ream",1617,1028,1002,25,15,0,15,4,8,0,0,0,0,885,1,3
"2656","Tim Skarke",53,36,32,4,0,0,1,8,4,0,0,0,0,22,0,1
"2657","Timo Baumgartl",314,192,190,2,2,0,2,5,0,0,0,0,0,157,0,1
"2658","Timo Hübers",1029,686,639,45,19,0,1,1,3,0,0,0,0,570,2,3
"2659","Timo Werner",995,395,375,16,1,4,3,16,8,0,0,0,0,289,4,18
