"","Player","Min","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","KP","Final_Third","PPA","CrsPA","Prog"
"2239","Philipp Köhn",540,95,143,403.9,3180,2558,16,16,NA,33,33,600,46,94,299.9,0,0,0,0,3,0,0,0
"2240","Philipp Lienhart",1347,817,943,1277.7,18052,5004,182,202,1349.9,515,550,1395.9,116,176,941.4,0,0.3,0.3,2,39,2,0,32
"2241","Philippe Coutinho",571,222,286,916.1,3081,671,140,157,1018.7,65,85,NA,10,25,NA,0,0.3,0.3,6,22,5,2,15
"2242","Pierluigi Gollini",270,96,126,230.8,2622,1774,18,18,300,42,42,300,36,66,168.6,0,0,0,0,1,0,0,0
"2243","Piero Hincapié",1727,1017,1232,1672.1,17250,5337,478,521,1902.2,451,519,1731.9,74,142,1092.2,0,0.6,0.5,7,49,6,2,44
"2244","Pierre-Emerick Aubameyang",717,123,163,954.8,1645,341,73,91,NA,45,55,872.3,1,3,NA,2,0.8,0.2,9,5,6,1,12
"2245","Pierre Cornud",371,161,202,398.6,2516,922,89,93,478.1,56,72,387.8,12,24,NA,1,0.7,0.6,8,3,6,5,13
"2246","Pierre Højbjerg",2048,1372,1546,2038.1,24588,6997,614,667,2114.4,545,593,2106.8,169,213,1839.4,4,1.7,1.7,17,141,27,3,130
"2247","Pierre Kalulu",1575,917,1046,1836.2,17791,6596,318,351,1915.3,489,525,1939.7,100,147,1452.4,0,0.7,0.5,5,74,4,3,57
"2248","Pierre Kunde",66,16,23,69.6,294,112,7,8,87.5,6,7,85.7,2,6,33.3,0,0.1,0.2,1,3,0,0,1
"2249","Pierre Lees-Melou",967,446,521,1010.2,9137,3213,164,186,1022.5,186,205,1080.2,82,107,877.6,0,0.4,0.9,5,65,6,2,50
"2250","Pierrick Capelle",581,222,282,962.2,3894,1226,98,116,NA,96,115,1034.2,19,35,NA,1,0.3,0.3,3,19,4,2,26
"2251","Pietro Pellegri",369,42,58,NA,526,30,28,37,NA,11,12,NA,1,3,NA,0,0.5,0.4,4,2,2,0,2
"2252","Pietro Terracciano",1080,307,404,932.4,8684,5874,60,60,1200,128,130,1185.3,118,213,707.7,0,0,0,0,7,0,0,0
"2253","Piotr Zieliński",1360,622,776,1814.2,9197,2808,353,393,2018.2,172,220,1777.9,53,94,NA,7,6.1,4.9,52,54,17,4,40
"2254","Pol Lirola",548,206,286,575.3,3302,1156,112,131,684,70,95,591.7,14,35,NA,0,0.6,0.5,6,10,3,2,13
"2255","Pol Lozano",17,5,8,NA,91,46,2,3,NA,2,3,NA,1,2,NA,0,0,0,0,0,0,0,0
"2256","Pontus Jansson",514,195,239,453.6,3806,1212,53,64,458.9,124,139,489.1,18,30,330,0,0,0.1,0,9,0,0,12
"2257","Portu",384,96,135,883.1,1429,499,48,53,1000,36,51,NA,6,13,NA,0,0.2,0.3,4,11,5,3,9
"2258","Predrag Rajković",1260,301,474,895,10468,8403,37,38,NA,119,121,1379.8,141,310,639.5,0,0,0,0,10,0,0,0
"2259","Presnel Kimpembe",716,464,495,951,6902,2949,251,258,978.9,176,185,963.7,22,27,NA,0,0.2,0.3,1,39,1,0,29
"2260","Przemysław Frankowski",1116,542,727,1225.3,9093,3362,275,313,NA,198,267,1236.5,52,110,NA,2,2.5,2.2,24,47,21,7,51
"2261","Qazim Laçi",211,111,140,NA,2278,691,44,54,NA,43,49,NA,21,31,NA,0,0.2,0.3,3,18,1,0,14
"2262","Quentin Bernard",630,324,417,542.2,5848,2976,147,160,645.1,122,154,552.6,44,83,366.9,1,0.6,0.4,7,31,6,4,20
"2263","Quentin Boisgard",184,79,98,393,1013,236,54,60,423,19,25,399.5,2,6,NA,0,0,0.4,4,9,4,0,7
"2264","Quentin Merlin",1129,608,804,983.7,11570,4365,245,280,1149.4,264,331,1014.7,83,162,647.9,1,1.4,1.8,22,50,13,9,53
"2265","Rabbi Matondo",97,9,18,191.7,101,1,8,12,250,1,3,NA,0,1,NA,0,0,0,0,0,0,0,0
"2266","Radamel Falcao",404,69,94,816.7,878,124,48,59,855,17,21,NA,2,3,NA,0,0,0,1,6,0,0,2
"2267","Rade Krunić",754,186,250,NA,2941,996,94,118,NA,72,89,NA,12,17,NA,1,0.8,0.7,8,23,7,0,32
"2268","Rafa Mir",715,81,124,734.6,1077,128,52,63,1014.2,22,42,535,2,6,NA,0,0.6,0.2,3,2,0,0,1
"2269","Rafa Silva",496,144,177,491.6,2032,393,80,94,502.1,54,65,498.7,4,5,NA,0,0.9,0.7,11,7,11,0,17
"2270","Rafael Borré",524,140,189,1544.2,1989,398,82,94,1846.5,42,60,NA,7,13,NA,1,1.1,1,7,9,2,1,10
"2271","Rafael Leão",1508,366,484,1643.7,6610,1784,177,216,1805.8,130,165,1676.5,49,66,NA,6,3.6,4.5,32,44,32,11,55
"2272","Rafael Ratão",709,217,308,765.3,2993,940,123,159,878.6,66,93,719.2,11,20,NA,0,0.5,0.7,12,23,14,4,28
"2273","Rafael Tolói",854,310,416,746.3,6123,2511,125,142,863.3,131,159,816,50,98,542.6,0,0.5,0.2,8,29,2,1,21
"2274","Rafał Gikiewicz",990,325,505,702.5,11076,8543,36,38,NA,136,143,1053,153,323,515.4,0,0,0,0,14,1,0,0
"2275","Raheem Sterling",1547,453,594,1528.2,5823,1395,277,321,1719.6,133,172,1528.6,13,26,NA,3,2.5,2.1,25,24,30,5,46
"2276","Ramin Rezaeian",180,73,105,139.2,1234,688,38,41,185.6,24,34,141,9,27,66.6,0,0.4,0.5,3,2,4,1,5
"2277","Ramón Terrats",141,45,61,466.3,740,145,24,27,563.3,12,18,NA,7,9,NA,0,0,0,1,2,0,0,1
"2278","Ramy Bensebaini",1248,542,706,1068,9310,3337,269,299,1265,207,256,1122.6,54,100,779.9,0,1.4,1.2,8,37,15,0,40
"2279","Randal Kolo Muani",1661,221,353,1278.2,2801,538,141,200,1450.7,55,87,NA,8,16,NA,9,3.6,2.4,23,15,9,1,23
"2280","Randy Ntekja",67,33,43,558.4,528,120,15,20,571.7,14,15,NA,3,5,NA,0,0,0,0,4,1,0,3
"2281","Rani Khedira",1213,321,430,1042.2,5389,1250,152,182,1181.1,139,179,1077.1,24,49,605.5,0,0.3,0.1,4,31,3,1,25
"2282","Raoul Bellanova",219,93,124,789.4,1525,395,51,56,NA,32,43,NA,7,13,NA,0,0,0,1,2,1,1,4
"2283","Raphael Framberger",176,33,64,97.8,404,291,22,27,NA,9,19,NA,0,10,0,0,0,0.1,1,2,1,0,4
"2284","Raphaël Guerreiro",1468,903,1070,1511.6,13032,4846,545,601,1634.1,278,328,1530.6,48,82,1027.8,3,2.7,3.2,22,72,21,5,79
"2285","Raphael Onyedika",431,175,208,417,3384,788,58,68,429.6,91,98,462.4,21,32,320.7,0,0.1,0,1,10,1,0,12
"2286","Raphaël Varane",820,344,406,NA,6648,2132,119,133,NA,197,217,NA,26,50,NA,0,0.2,0.1,3,25,0,0,10
"2287","Raphinha",1022,447,622,1478.3,7639,2057,216,256,NA,158,198,NA,56,113,NA,4,4.2,3.9,32,20,36,8,54
"2288","Rareş Ilie",148,47,60,329.3,559,91,32,37,NA,8,11,NA,2,3,NA,0,0.2,0,2,2,0,0,0
"2289","Rasmus Falk",189,89,101,272.7,1253,207,57,60,286.9,24,27,272.2,3,4,NA,0,0,0,1,7,0,0,4
"2290","Rasmus Højlund",437,82,108,798.7,1028,170,52,64,915,19,26,NA,3,3,NA,1,0.4,0.1,7,7,3,0,7
"2291","Rasmus Lauritsen",15,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"2292","Rasmus Nicolaisen",1195,521,635,1143.5,10197,3990,169,197,1202,272,302,1165.5,68,112,916.8,2,0.6,0.4,2,23,0,0,32
"2293","Rasmus Nissen",1272,595,832,1076.5,9465,3936,292,353,1239.5,260,351,1097.7,29,79,NA,1,0.7,0.7,8,47,15,2,56
"2294","Raúl Albiol",1159,691,784,1137.8,15270,5362,153,164,1207.9,411,442,1195.9,120,162,951,0,0,0.1,0,47,5,0,39
"2295","Raúl García",355,75,118,813.7,1220,252,42,51,NA,27,47,NA,6,13,NA,1,0.4,0.2,3,9,3,0,7
"2296","Raúl Guti",647,179,212,927.8,2589,688,109,121,983,43,48,1018.6,15,25,NA,0,0,0,0,11,0,0,6
"2297","Raúl Jiménez",257,38,56,313.3,550,170,28,35,345.8,6,11,210,4,6,NA,0,0.4,0.2,2,6,2,0,6
"2298","Rayan Aït Nouri",666,303,367,800,4848,1729,168,188,912.5,112,132,756.9,18,23,NA,0,0.8,0.7,6,21,12,5,25
"2299","Rayan Cherki",222,138,185,901.7,2166,595,85,95,1079.5,36,53,751.6,14,30,NA,3,1.1,2,9,8,10,2,15
"2300","Rayan Raveloson",730,271,321,1068.3,4869,1571,107,121,NA,118,133,1207.6,29,41,NA,0,0.2,0.2,4,26,4,2,25
"2301","Raz Meir",83,31,38,162.1,364,127,23,25,190,7,9,171.4,0,1,NA,0,0,0,0,1,1,0,1
"2302","Răzvan Marin",983,472,583,1215.9,8480,3157,209,219,1426.7,193,235,1274.8,54,90,NA,0,0.7,0.6,16,38,6,1,33
"2303","Reece James",890,621,731,949.7,10194,2540,327,353,1026.9,228,262,966.6,53,76,NA,2,2.1,1.9,13,37,14,5,36
"2304","Reece Oxford",94,28,52,178,638,273,2,5,NA,22,31,NA,3,14,NA,0,0.1,0.1,1,2,1,0,4
"2305","Reinier",313,93,116,581,1181,315,64,72,554,27,32,611.3,0,2,NA,0,0.1,0.2,3,2,5,0,7
"2306","Reinildo Mandava",1749,979,1129,1704.5,14382,5234,553,592,1856.5,360,408,1701.4,37,75,NA,0,0.6,0.8,9,64,8,4,54
"2307","Reiss Nelson",65,35,39,NA,407,63,24,25,NA,6,7,NA,2,2,NA,1,0.1,0.2,2,0,2,1,1
"2308","Remi Oudin",213,61,104,491.7,1160,424,27,37,NA,18,31,NA,12,25,NA,0,0.2,0.1,3,12,0,0,11
"2309","Remko Pasveer",540,187,283,412.2,4607,3099,39,39,600,103,107,579,45,134,233.3,0,0,0,0,1,0,0,0
"2310","Remo Freuler",1011,383,467,1062.7,5982,1803,197,218,1176.6,153,173,1124.7,21,45,NA,0,0.3,0.2,3,29,2,1,31
"2311","Rémy Cabella",721,463,559,743.6,6960,2301,251,284,793.9,153,181,765.6,29,48,621.3,5,2.5,4.2,27,52,21,4,67
"2312","Rémy Descamps",90,22,26,84.6,684,521,2,2,100,10,10,100,9,13,69.2,0,0,0,0,1,0,0,0
"2313","Rémy Dugimont",108,40,59,NA,615,122,17,27,NA,14,20,NA,4,5,NA,1,0.3,0.1,3,3,1,0,4
"2314","Rémy Riou",331,105,124,337,2398,1932,22,23,388.9,61,63,388.3,21,37,206.1,0,0,0,0,0,0,0,1
"2315","Renan Lodi",505,172,236,479.8,2966,693,79,93,NA,77,100,475.6,13,32,NA,0,0.1,0.1,2,6,1,1,3
"2316","Renato Sanches",462,364,388,1187.1,5615,1376,207,219,NA,123,126,1279.9,25,28,NA,0,0.6,0.2,4,37,1,0,18
"2317","Renato Steffen",32,13,15,86.7,170,43,7,8,87.5,5,5,100,0,1,0,0,0,0.1,0,1,1,0,2
"2318","Renato Tapia",638,316,366,934.3,5850,1432,134,148,1004,130,142,1009.2,46,65,760.1,0,0.7,0.3,8,31,3,0,28
"2319","Renaud Ripart",747,192,277,876.2,2718,618,102,131,1034.6,66,93,NA,8,22,NA,1,1.6,0.4,15,18,7,1,18
"2320","Reo Hatate",448,188,242,465.3,3152,1045,86,107,484.7,68,79,520.9,22,33,376.6,0,0.4,0.4,7,16,9,1,23
"2321","Rhys Healey",60,7,14,181,61,7,3,6,225,1,3,NA,0,0,NA,0,0.3,0.1,2,0,0,0,0
"2322","Riad Nouri",727,208,299,975.2,3302,1134,107,137,1100,76,100,981.9,15,40,NA,1,1.3,1.6,14,15,10,9,14
"2323","Ricardo Esgaio",109,34,49,232.5,537,229,20,23,NA,12,21,205.6,2,4,NA,0,0,0,1,2,0,0,3
"2324","Ricardo Pepi",95,18,27,189.8,223,7,10,15,146.7,6,7,NA,0,0,NA,0,0,0,2,0,0,0,0
"2325","Ricardo Rodríguez",1127,613,742,1217.9,10988,3729,277,306,1340.9,266,299,1322.5,59,112,754.4,0,0.1,0.2,6,57,6,2,35
"2326","Riccardo Marchizza",17,5,7,141.7,114,43,1,1,NA,2,3,150,2,3,150,0,0,0,0,0,0,0,0
"2327","Riccardo Orsolini",625,123,217,664.3,2240,620,65,95,NA,31,54,NA,18,41,NA,1,0.6,0.3,7,12,2,2,12
"2328","Riccardo Saponara",450,146,190,950.4,2167,510,90,104,1061.7,44,58,NA,7,12,NA,2,2.2,1.1,9,9,9,1,14
"2329","Riccardo Sottil",432,127,157,536.5,2249,411,56,63,618.6,57,72,492.9,13,16,NA,2,1.1,0.6,10,8,4,1,11
"2330","Richarlison",912,180,250,1139.4,2624,808,94,124,1195.7,61,74,1243,10,16,NA,2,2.2,1.5,15,14,9,2,24
"2331","Richie Laryea",134,29,39,148.4,533,124,13,16,163.5,11,15,150,3,3,200,0,0.5,0.3,4,1,1,1,0
"2332","Rick Karsdorp",547,219,281,630.1,3937,1156,93,104,NA,103,121,NA,22,41,NA,0,1.1,0.8,5,9,7,1,19
"2333","Rico Henry",1346,349,480,1077.1,5243,1721,204,236,1266.2,112,158,1039,22,56,570.9,1,0.7,0.8,8,27,12,5,28
"2334","Rico Lewis",157,123,136,452.6,1861,202,69,73,474.5,48,50,490.5,4,8,NA,0,0.1,0.1,1,12,0,0,2
"2335","Ridle Baku",1280,600,764,1153.5,11230,3673,225,258,1295.1,297,357,1221.2,68,119,862.3,1,2.1,2.9,15,59,13,5,62
"2336","Rıdvan Yılmaz",90,39,50,78,579,287,26,29,89.7,12,16,75,1,3,33.3,0,0,0.1,1,2,1,1,4
"2337","Riley McGree",208,42,60,208.8,589,143,23,29,238.9,16,21,226.4,1,3,100,1,0.7,0.2,3,4,2,1,3
"2338","Ritsu Doan",1155,237,328,1244.1,3523,942,153,184,NA,62,84,1250.5,15,24,NA,2,1.7,2.2,17,24,17,3,33
"2339","Riyad Mahrez",740,425,495,1257.8,7691,1160,205,221,1371.8,165,183,1360.1,52,72,NA,1,1.8,1.8,19,18,19,3,28
"2340","Ró-Ró",262,78,108,216.3,1324,355,47,51,277.5,25,31,243.4,5,19,80,0,0,0.1,0,4,2,0,4
"2341","Rob Holding",14,5,5,NA,103,21,1,1,NA,4,4,NA,0,0,NA,0,0,0,0,0,0,0,1
"2342","Robert Andrich",1387,679,808,1463.7,10970,2744,347,393,1574.7,257,298,NA,51,75,NA,2,0.6,0.3,10,55,8,1,54
"2343","Robert Gumny",836,196,321,694.3,3637,1684,79,111,784.7,90,138,738.1,22,56,NA,1,0.5,0.6,5,10,6,3,15
"2344","Robert Lewandowski",1685,339,468,1530.3,4690,1073,206,253,1710.7,96,126,1580.7,16,28,NA,5,3.2,4.2,25,30,24,4,41
"2345","Robert Ljubicic",540,272,363,450.7,4244,1882,149,171,526.5,93,124,441.9,19,33,NA,0,0.1,0.1,2,25,5,1,21
"2346","Robert Sánchez",1260,341,480,994.4,8890,5837,84,85,1390.9,169,172,1377.1,85,213,620.2,0,0,0,0,11,0,0,0
"2347","Robert Skov",956,383,542,1061.3,6904,2321,170,199,1276.4,170,230,1119.4,38,85,607.1,1,1.4,2.1,16,29,16,8,32
"2348","Robert Wagner",7,2,2,100,27,6,1,1,100,1,1,100,0,0,NA,0,0,0,0,0,0,0,0
"2349","Roberto Alvarado",18,5,10,50,50,5,4,6,66.7,1,4,25,0,0,NA,0,0,0,0,0,0,0,0
"2350","Roberto Arroyo",15,0,5,0,0,0,0,0,NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0
"2351","Roberto Firmino",1285,483,613,1485,6483,2067,294,340,1641.4,137,168,1524.4,19,27,NA,4,3.5,3.1,27,54,19,0,64
"2352","Roberto Gagliardini",272,96,120,739.4,1452,442,53,66,NA,32,35,844.5,6,9,NA,0,0.2,0.3,2,11,5,0,10
"2353","Roberto González",54,25,29,185.2,374,121,12,14,NA,8,8,200,3,5,150,0,0.3,0.2,3,2,0,0,2
"2354","Roberto Navarro",155,52,67,595.3,657,119,37,45,715.1,9,12,NA,3,4,NA,0,0.1,0,4,7,1,0,3
"2355","Roberto Pereyra",1289,493,612,1193.3,7550,2637,269,293,1373.7,161,202,1164.6,37,54,1041.7,5,3,3.7,22,45,28,4,62
"2356","Roberto Piccoli",159,7,13,220,114,36,4,5,NA,2,3,NA,1,4,100,0,0.2,0,1,1,0,0,0
"2357","Roberto Soriano",639,201,256,1067.8,2900,1040,122,142,1136.5,63,77,NA,10,16,NA,3,1.5,0.9,11,20,7,1,26
"2358","Roberto Torres",11,12,13,187.5,223,50,5,5,200,2,3,NA,3,3,200,0,0.2,0.2,2,0,0,0,0
"2359","Robin Gosens",561,236,299,1375,4101,1512,109,119,1666.9,102,127,NA,22,37,NA,0,0.8,1.8,6,15,8,5,18
"2360","Robin Knoche",1260,576,713,1110.9,12545,5001,146,164,1252.7,334,366,1254.2,93,163,771.9,0,0.1,0,2,38,1,0,28
"2361","Robin Koch",1215,551,711,1068.4,10981,4689,162,188,1197.5,320,369,1206.5,63,127,676.9,0,0,0.1,0,57,1,0,37
"2362","Robin Le Normand",816,451,486,899.7,9041,2887,132,143,NA,257,267,937.7,53,65,NA,0,0,0,2,30,1,0,22
"2363","Robin Olsen",56,3,23,13,97,89,0,1,0,2,2,100,1,20,5,0,0,0,0,0,0,0,0
"2364","Robin Zentner",1350,264,479,851.6,8917,7047,30,30,NA,110,115,1359,124,332,628.3,0,0.1,0.1,1,12,1,0,3
"2365","Rocco Reitz",3,2,2,100,30,0,1,1,100,1,1,100,0,0,NA,0,0,0,0,0,0,0,0
"2366","Rochinha",18,4,6,66.7,111,41,1,1,100,0,2,0,2,2,100,0,0.1,0,1,1,0,0,1
"2367","Rodri",1694,1762,1921,1834.7,32915,8264,684,735,1850.2,868,922,1877.1,191,227,1689.2,3,0.7,2,13,191,15,0,107
"2368","Rodrigo",1582,488,618,1853.1,7163,1667,250,286,2044.3,160,202,1827.2,35,57,NA,1,1.2,0.5,13,38,16,3,35
"2369","Rodrigo Battaglia",592,160,195,837.8,2552,788,74,82,NA,73,86,887.1,10,16,NA,0,0,0,0,22,1,0,15
"2370","Rodrigo Becão",782,332,427,691.4,6158,2598,132,150,782.2,162,186,772.8,33,66,443,1,0.3,0.5,4,22,0,0,21
"2371","Rodrigo Bentancur",1865,1031,1210,1867.4,16874,4863,482,540,1964,453,507,1966.3,64,103,NA,2,1.2,1.1,14,93,11,5,87
"2372","Rodrigo Conceição",5,4,5,150,66,34,2,3,150,2,2,NA,0,0,NA,0,0,0,0,1,0,0,0
"2373","Rodrigo De Paul",1106,680,855,1495.7,12023,3492,342,383,1660.9,241,293,1549.2,85,137,1071.6,1,1.9,1.4,20,93,26,7,76
"2374","Rodrigo Ely",1233,482,581,1127.7,10723,4131,104,118,1150.3,296,316,1280.9,79,139,736.2,0,0,0,1,18,0,0,10
"2375","Rodrigo Pinho",15,1,1,NA,5,5,1,1,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"2376","Rodrigo Riquelme",796,151,221,847.5,2039,593,95,116,995.9,42,66,NA,7,21,NA,0,0.3,0.6,6,17,11,3,19
"2377","Rodrigo Zalazar",377,58,94,NA,880,275,26,41,NA,22,29,NA,4,13,NA,0,0.6,0.5,5,4,3,2,5
"2378","Rodrygo",1393,513,593,1629.9,5884,1259,363,395,1761.7,94,114,NA,13,19,NA,6,4.9,3.2,25,40,13,2,24
"2379","Roger Ibanez",1350,763,856,1320.1,14346,4987,283,311,1354.7,384,408,1391.9,85,114,NA,0,0.1,0.2,1,39,3,0,35
"2380","Roger Martí",430,74,100,NA,988,255,38,44,NA,17,22,NA,6,11,NA,1,0.4,0.2,8,4,3,2,4
"2381","Rogério",1153,684,843,1139.1,12802,4485,297,318,1304.1,280,333,NA,94,150,NA,2,0.8,0.5,8,44,22,10,45
"2382","Roko Simic",18,3,5,116.7,40,1,2,4,100,1,1,NA,0,0,NA,0,0,0.1,0,0,0,0,0
"2383","Roland Sallai",376,81,115,537.4,1183,238,47,58,NA,23,35,NA,5,9,NA,0,0.4,0.2,6,6,4,2,6
"2384","Rolando Mandragora",869,388,466,1081.2,7540,2235,146,169,1126,185,205,1191.9,46,68,NA,1,1.3,1.5,13,55,6,3,46
"2385","Romain Del Castillo",514,164,251,562.3,2936,1101,82,106,NA,52,73,558.5,24,58,322.7,2,1.5,1.7,10,16,14,4,22
"2386","Romain Faivre",262,132,155,650,1994,603,74,82,702.6,41,46,NA,9,16,NA,1,0.3,0.6,5,14,2,1,11
"2387","Romain Hamouma",589,150,210,725.5,2365,826,61,77,806.3,55,75,764.3,13,26,NA,1,1.2,0.9,10,19,4,0,24
"2388","Romain Perraud",851,283,399,909.7,4072,1584,166,199,1117,96,126,941,13,36,NA,2,1.4,1.1,11,23,7,3,19
"2389","Romain Saïss",180,73,88,165.8,1581,656,19,21,180.6,43,47,181.3,11,20,110,0,0,0,0,5,1,0,4
"2390","Roman Yaremchuk",51,17,23,246.4,266,52,7,10,NA,8,10,255,1,1,NA,0,0,0,1,3,0,0,2
"2391","Romano Schmid",932,338,459,1025.4,5110,1789,189,239,1115.5,106,129,1121.5,28,48,743.4,2,0.8,1.3,13,37,14,2,40
"2392","Romario Ibarra",68,10,14,76.9,121,32,7,11,70,2,2,NA,0,0,NA,0,0,0,0,1,0,0,0
"2393","Romelu Lukaku",266,40,56,449.3,455,82,23,26,NA,11,13,466.7,0,2,NA,1,0.4,0.6,3,0,5,0,5
"2394","Roméo Lavia",557,227,257,606.6,4034,1062,97,108,613.5,106,113,652,21,24,641.6,0,0.1,0.1,3,30,4,0,19
"2395","Rominigue Kouamé",1236,570,649,1230.9,10164,2960,228,247,1299.3,273,305,1255.5,53,68,NA,1,1.3,0.9,13,77,7,2,61
"2396","Ronaël Pierre-Gabriel",635,270,346,1011.3,4407,1644,131,154,1100.1,117,141,1069.8,13,28,NA,1,0.9,0.6,4,26,3,3,17
"2397","Ronald Araújo",600,349,404,602.4,6722,2198,123,139,615,187,201,647.7,36,56,433.1,0,0.2,0.1,1,38,1,0,20
"2398","Rónald Matarrita",9,9,12,75,158,71,5,5,100,3,3,100,1,3,33.3,0,0,0,0,1,0,0,0
"2399","Ronaldo Vieira",531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2400","Rony Lopes",638,166,225,NA,3032,930,81,95,NA,57,75,NA,25,47,NA,4,1.9,1.4,17,16,8,3,20
"2401","Roony Bardghji",98,15,24,121.8,165,41,8,12,137.5,4,5,175,0,3,0,0,0,0,0,2,0,0,1
"2402","Roozbeh Cheshmi",58,7,11,155.6,125,33,2,3,150,5,7,166.7,0,1,NA,0,0,0,0,0,0,0,0
"2403","Roque Mesa",862,394,477,990.1,8033,2161,138,164,1017.9,172,193,1061,72,96,897.8,1,0.8,0.3,12,50,8,2,36
"2404","Ross Barkley",390,149,190,651.3,2490,684,74,86,703.8,56,69,692.9,15,27,NA,0,0.7,0.7,11,12,4,0,13
"2405","Ruan",45,11,15,140,161,54,9,9,200,1,3,50,1,2,NA,0,0,0,0,0,0,0,0
"2406","Rubén",244,48,73,273.7,699,214,29,34,NA,17,26,269,1,7,NA,0,0,0,1,3,1,0,5
"2407","Ruben Aguilar",327,172,221,533.9,2702,1027,91,107,543.3,66,78,620.5,11,24,NA,0,0,0.2,0,11,5,2,15
"2408","Rubén Alcaraz",513,189,240,798.6,3775,1213,70,89,820.5,76,82,912.3,33,53,655.2,0,0.3,0.4,6,22,3,2,14
"2409","Rubén Blanco",270,82,110,221.9,1916,1312,21,21,300,41,41,300,18,46,120,0,0,0,0,0,0,0,0
"2410","Rúben Dias",1472,1396,1495,1669.2,25684,8784,510,533,NA,765,801,1714.7,109,136,NA,0,0.1,0.1,3,93,0,0,52
"2411","Rubén García",425,170,226,825.9,3146,866,87,100,938.7,42,55,892,32,53,688.8,2,1,0.8,12,12,7,1,14
"2412","Ruben Loftus-Cheek",1141,575,678,1580,8677,2346,334,377,1625.8,203,226,1689.1,28,39,NA,1,1.1,1.2,8,61,12,0,50
"2413","Rúben Neves",1404,834,991,1336,17922,4894,276,292,1513.8,395,439,1410.5,156,223,1140.6,0,0.5,0.1,12,94,6,0,71
"2414","Rubén Peña",563,172,233,734.5,2775,1303,89,98,892.1,65,89,NA,14,30,NA,1,0.5,0.8,7,16,7,5,23
"2415","Rubén Sobrino",799,142,186,839.5,1779,458,81,102,871.7,43,48,NA,3,6,NA,0,0.5,0.3,7,8,0,0,2
"2416","Ruben Vargas",628,111,207,644.5,1820,640,55,73,950.5,48,99,578,5,19,NA,1,1.1,1.6,8,11,7,1,15
"2417","Rúben Vinagre",26,15,24,95,223,26,7,10,77.8,7,10,125,0,0,NA,0,0,0,0,2,0,0,0
"2418","Rubin Colwill",10,2,4,50,26,12,2,2,100,0,0,NA,0,2,0,0,0,0,0,0,0,0,0
"2419","Rui Patrício",1350,317,388,1243,8109,5303,65,65,NA,164,166,1486.7,87,155,889,0,0,0,0,3,0,0,0
"2420","Rui Silva",1080,275,399,831.5,8210,6291,49,50,NA,116,120,1160.7,108,225,582.1,0,0,0,0,6,0,0,0
"2421","Ruslan Malinovskyi",543,241,322,1060.1,4736,1625,101,118,1255.4,96,120,1096.1,38,60,NA,2,1.9,1.2,13,36,15,0,41
"2422","Ryan Christie",718,188,226,1046.4,3018,669,94,111,1079.2,71,77,NA,14,22,NA,0,0.4,0.5,7,17,7,0,21
"2423","Ryan Fraser",313,85,122,520.5,1228,289,50,59,679.3,28,41,486.9,3,8,NA,0,0.3,0.2,5,4,4,1,7
"2424","Ryan Fredericks",451,138,202,470.5,2000,681,79,90,690.1,50,79,NA,4,14,NA,0,0.1,0.3,1,4,6,1,9
"2425","Ryan Gravenberch",435,199,244,1187.9,2865,808,121,137,1318.9,63,75,NA,8,13,NA,0,0.9,0.7,7,19,6,0,17
"2426","Ryan Jack",191,61,77,312.1,987,219,31,34,354.7,22,30,294,5,8,283.3,1,0.2,0,3,10,0,0,4
"2427","Ryan Kent",507,98,120,489.2,1426,270,59,63,568.5,33,42,NA,4,8,NA,0,0.4,0.3,3,6,6,3,6
"2428","Ryan Sessegnon",817,265,375,1052,3919,1066,159,190,1197.5,84,127,908.1,15,31,NA,0,0.8,1,8,17,9,3,17
"2429","Ryan Yates",1033,290,362,1024,4877,1067,126,145,1118.2,134,154,1087.5,22,41,NA,1,0.6,0.2,3,17,1,0,19
"2430","Saad Al Sheeb",90,18,20,90,409,287,5,5,100,8,8,100,4,6,66.7,0,0,0,0,0,0,0,0
"2431","Sacha Delaye",20,8,14,160,86,52,6,8,NA,1,3,100,0,1,NA,0,0,0,0,0,0,0,1
"2432","Sada Thioub",421,179,224,1058.2,2698,948,91,104,NA,72,86,NA,6,14,NA,1,1.1,0.7,7,24,8,2,25
"2433","Sadegh Moharrami",498,166,209,565.9,2567,986,90,97,657.2,59,78,522.3,11,21,NA,0,0.5,0.5,7,11,5,5,12
"2434","Sadio Mané",1399,351,467,1533.7,5326,1534,208,249,NA,118,145,1680.5,19,30,NA,4,2.5,2.6,19,28,37,3,64
"2435","Saeid Ezatolahi",217,66,87,242.3,1389,474,26,29,280,25,34,225.4,14,22,206.7,0,0.2,0.3,2,7,4,1,4
