"","Player","Min","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","KP","Final_Third","PPA","CrsPA","Prog"
"389","Brayann Pereira",180,56,79,139.5,812,282,32,38,165.7,21,32,132.1,3,6,140,0,0,0,0,1,0,0,3
"390","Brecht Dejaegere",767,205,263,941.3,3033,911,117,139,1035.3,69,88,963.1,11,17,NA,0,0.2,0.6,5,22,11,0,29
"391","Breel Embolo",1237,190,284,1087.4,2703,644,106,145,1254.7,55,79,1012.1,14,16,NA,2,2.3,1,20,14,12,0,25
"392","Brendan Chardonnet",1215,560,674,1164.8,12851,4701,143,164,1217.9,301,327,1293.4,110,170,903,0,0.3,0.2,6,51,5,2,28
"393","Brenden Aaronson",1273,366,486,1286.4,4736,1320,212,255,1386.7,95,121,1359,15,41,NA,2,3,1.6,29,29,10,2,32
"394","Brennan Johnson",1278,125,225,986.8,1702,409,68,101,NA,42,71,NA,5,16,NA,0,0.6,0.7,8,6,5,0,14
"395","Brian Brobbey",116,19,25,NA,335,21,8,11,NA,6,7,NA,4,4,NA,0,0.6,0.1,2,1,1,1,0
"396","Brian Ocampo",560,119,161,691.4,1782,509,71,90,NA,30,41,716.7,12,18,NA,0,0.3,0.5,5,7,7,4,6
"397","Brian Oliván",1209,362,577,873.6,6941,3289,154,191,1127.8,141,213,923.6,60,145,546.1,3,1.7,2.2,18,44,17,13,39
"398","Brice Samba",1350,391,513,1151.6,10375,7102,90,90,1500,167,171,1454.1,128,244,833.1,0,0,0,0,9,1,0,1
"399","Bruno Amione",446,182,250,441.2,3131,1337,80,98,517.1,91,114,464.8,10,25,222.9,0,0,0.2,1,4,3,1,12
"400","Bruno Fernandes",1349,593,778,1126.6,9762,2862,317,369,1266.8,183,229,1198.3,69,114,911,3,3.8,3.3,36,47,33,4,80
"401","Bruno Guimarães",1025,542,660,1060.1,9255,2569,271,297,1201.5,200,233,1115.9,55,89,673.9,2,1.3,0.9,16,56,23,1,58
"402","Bruno Petković",521,136,211,437.7,2393,439,70,101,493.2,37,57,409,21,29,446.7,2,1.2,0.6,10,9,4,0,13
"403","Bruno Xavier Almeida Costa",73,18,22,266.7,293,66,7,8,266.7,7,8,NA,2,4,NA,0,0.1,0.2,1,0,1,0,3
"404","Bryan",47,20,27,NA,288,61,11,13,NA,7,8,NA,1,3,NA,0,0.2,0.1,2,3,1,0,2
"405","Bryan Cristante",1238,606,744,1212.1,11483,3532,251,282,1337.2,255,294,1292.3,85,137,887,0,0.5,0.6,8,85,9,3,52
"406","Bryan Mbeumo",1290,262,401,1109.1,4211,1275,153,189,1403.5,76,122,1076.5,25,52,NA,1,1.8,1.6,19,16,16,6,23
"407","Bryan Oviedo",171,43,63,133.7,678,234,20,27,154.7,23,27,171.7,0,2,0,0,0,0,0,0,1,0,1
"408","Bryan Ruiz",30,8,12,66.7,114,11,5,5,100,3,4,75,0,1,0,0,0,0,0,0,0,0,0
"409","Bukayo Saka",1317,443,565,1240.5,6505,1471,277,311,1404.2,116,146,1270.1,34,60,NA,6,3.4,2.1,31,19,24,7,30
"410","Cafú",7,2,2,100,45,41,0,0,NA,2,2,100,0,0,NA,0,0,0,0,1,0,0,1
"411","Çağlar Söyüncü",71,39,47,83,667,208,17,18,94.4,21,24,87.5,1,5,20,0,0,0,0,2,0,0,3
"412","Caio Henrique Oliveira Silva",1085,495,674,951.5,8151,3280,251,277,1171.2,193,252,986.2,39,113,443,5,2.3,2.7,22,49,13,3,52
"413","Cala",137,30,38,160.7,792,274,4,5,NA,14,17,173.3,12,16,NA,0,0,0,0,0,0,0,2
"414","Caleb Okoli",845,297,387,NA,5230,2068,127,155,NA,134,164,NA,27,43,NA,0,0,0,0,9,1,0,17
"415","Callum Hudson-Odoi",938,341,412,1234.6,5477,1331,188,217,1315.6,117,132,1302.7,28,43,NA,1,1.8,2,22,29,16,2,38
"416","Callum McGregor",216,139,157,261.7,2182,640,71,78,279.6,62,63,296.8,6,12,133.4,0,0.3,0.4,3,21,2,0,16
"417","Callum Wilson",835,83,116,919.2,1056,227,56,71,1042.9,21,26,NA,2,5,NA,3,1.5,1.1,13,8,5,0,10
"418","Calum Chambers",101,65,76,NA,1168,517,30,31,NA,31,35,NA,4,7,NA,0,0,0,0,3,0,0,2
"419","Calvin Bassey",540,387,434,523,7498,1684,137,147,552.2,203,221,538.7,45,63,352.4,2,0.2,0.1,2,16,1,1,15
"420","Calvin Ramsay",4,3,3,100,55,5,2,2,100,0,0,NA,1,1,100,0,0,0,0,0,0,0,0
"421","Calvin Stengs",212,82,100,309.6,1288,254,45,55,299.8,31,34,345.9,3,7,NA,0,0.1,0.3,1,11,2,0,8
"422","Cameron Archer",49,8,12,410,108,44,5,5,NA,3,5,NA,0,0,NA,0,0,0,0,2,0,0,0
"423","Cameron Carter-Vickers",450,336,358,463.3,6746,1968,77,80,479.1,228,241,465,26,31,441.7,0,0,0.1,0,42,1,0,20
"424","Carl Starfelt",90,52,54,96.3,971,354,25,26,96.2,20,20,100,7,8,87.5,0,0,0,0,3,0,0,0
"425","Carles Aleñá",1022,341,436,1018.4,5656,1406,163,189,1139.6,122,147,1091.6,35,60,692.5,2,0.6,0.6,7,42,9,2,34
"426","Carles Pérez",599,149,172,1203.7,2112,286,86,95,1284.6,46,50,NA,8,13,NA,2,0.4,0,7,7,1,0,5
"427","Carlos",1219,592,711,1157.3,9481,2968,296,323,1287.6,249,291,1183.6,33,55,829.4,1,0.2,0.3,3,32,9,0,23
"428","Carlos Baleba",66,34,45,485.9,651,116,13,15,NA,13,19,491.7,5,6,NA,0,0,0,0,5,0,0,3
"429","Carlos Clerc",862,335,455,735.2,4695,1645,216,252,854.8,100,137,724.6,13,40,327.5,1,0.4,0.5,3,16,4,2,15
"430","Carlos Dominguez",1,1,2,50,12,11,1,1,100,0,0,NA,0,1,0,0,0,0,0,0,0,0,0
"431","Carlos Fernández",232,40,59,428.9,600,142,20,26,NA,18,24,406.5,0,3,NA,0,0.3,0.1,5,2,2,0,5
"432","Carlos Gruezo",1006,214,291,1012.9,4401,1427,67,84,1165.3,97,119,NA,42,72,771.8,0,0.3,0.3,6,25,6,0,25
"433","Carlos Martínez",45,10,15,66.7,196,109,5,7,71.4,3,6,50,2,2,100,0,0,0,0,0,0,0,0
"434","Carlos Soler",660,323,389,1232.9,4761,1292,175,202,1286.6,102,115,NA,23,41,NA,1,1.4,0.9,10,27,7,2,27
"435","Carlos Vinícius",327,34,61,NA,417,109,23,32,NA,7,13,NA,2,4,NA,0,0.4,0.3,3,1,1,0,4
"436","Carmona",892,472,564,1152.2,8275,2489,211,231,1273.9,223,259,1181,35,56,NA,1,0.6,0.3,5,29,6,3,18
"437","Carney Chukwuemeka",46,17,21,261.9,244,56,11,14,NA,3,3,300,1,1,NA,0,0,0,1,4,0,0,1
"438","Casals",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"439","Casemiro",900,495,625,1093.4,8816,3089,227,261,1174.5,202,248,NA,54,89,NA,1,0.9,1.3,9,60,8,2,55
"440","Casper Nielsen",529,95,150,364.7,1832,573,42,59,431.5,37,51,393.8,14,28,287.5,1,0.5,0.3,2,12,2,1,10
