"","Player","Min","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Vs_Dribbles","Att_Vs_Dribbles","Tkl_percent_Vs_Dribbles","Past_Vs_Dribbles","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"2562","Son Heung-min",1658,21,9,8,8,5,6,15,NA,9,10,1,9,6,27,6,0
"2563","Son Jun-ho",17,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0
"2564","Sorba Thomas",1,1,1,1,0,0,0,0,NA,0,0,0,0,0,1,0,0
"2565","Sotiris Alexandropoulos",121,1,1,0,1,0,0,0,NA,0,2,2,0,0,1,2,0
"2566","Soualiho Meïté",610,15,10,10,3,2,10,18,NA,8,9,2,7,6,21,9,0
"2567","Souleyman Doumbia",1075,24,16,14,9,1,7,15,NA,8,15,2,13,15,39,21,0
"2568","Souleymane Cissé",3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0
"2569","Souleymane Touré",68,2,1,1,1,0,1,2,NA,1,1,0,1,0,2,5,0
"2570","Soumaïla Coulibaly",19,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,1,0
"2571","Soungoutou Magassa",74,3,1,2,1,0,1,2,50,1,2,0,2,1,4,1,0
"2572","Srđan Babić",1138,12,6,9,3,0,6,13,NA,7,7,6,1,7,19,32,0
"2573","Stanislav Lobotka",1545,43,24,20,17,6,23,33,NA,10,16,4,12,7,50,7,1
"2574","Stanley N'Soki",642,5,4,3,2,0,2,6,NA,4,16,4,12,12,17,18,0
"2575","Stefan Bajcetic",46,2,2,1,1,0,2,2,NA,0,0,0,0,0,2,0,0
"2576","Stefan Bell",893,14,10,12,2,0,8,15,NA,7,15,3,12,23,37,35,0
"2577","Stefan de Vrij",1165,20,10,16,4,0,7,9,NA,2,9,7,2,24,44,52,0
"2578","Stefan Lainer",30,1,0,0,0,1,0,0,NA,0,0,0,0,0,1,1,0
"2579","Stefan Mitrović",1070,5,3,4,1,0,2,7,NA,5,6,6,0,10,15,64,2
"2580","Stefan Ortega",180,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1
"2581","Stefan Posch",544,16,11,11,4,1,9,13,NA,4,7,3,4,10,26,16,0
"2582","Stefan Ristovski",370,6,2,4,1,1,2,6,NA,4,7,4,3,6,12,8,0
"2583","Stefan Savić",1155,19,14,16,2,1,15,18,NA,3,6,2,4,18,37,37,0
"2584","Stefano Sensi",782,28,19,17,9,2,13,25,NA,12,9,1,8,11,39,3,0
"2585","Steffen Tigges",720,5,3,1,3,1,3,6,NA,3,5,0,5,3,8,10,0
"2586","Stephan El Shaarawy",272,2,1,1,1,0,0,2,NA,2,2,0,2,5,7,4,0
"2587","Stéphane Diarra",616,11,9,5,4,2,6,16,NA,10,7,0,7,13,24,5,0
"2588","Stephen Eustáquio",650,18,9,10,8,0,6,17,NA,11,6,1,5,13,31,15,0
"2589","Stephen Welsh",90,0,0,0,0,0,0,0,NA,0,1,1,0,1,1,6,0
